device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,inter_gaze_origin_validity,index,window_1,window_2,selected_eye,inter_gaze_point_on_display_area,inter_gaze_origin_validity,inter_gaze_origin_in_trackbox_coordinate_system,inter_gaze_origin_in_user_coordinate_system
361130988442,361112845565,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,44,42,46,inter,"[0.9375265836715698, 0.32624995708465576]",1,"[0.697846245765686, 0.6693852424621582, 0.5622190117835999]","[-103.40414886474609, -86.74421997070313, 689.9526123046875]"
361130992442,361112849565,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,45,43,47,inter,"[0.9372796416282654, 0.3267621099948883]",1,"[0.6978481888771058, 0.6694055914878845, 0.5622044920921325]","[-103.40413208007813, -86.75372009277343, 689.9447875976563]"
361130996442,361112853564,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,46,44,48,inter,"[0.9370326995849609, 0.32727426290512085]",1,"[0.6978501319885254, 0.6694259405136108, 0.5621899724006653]","[-103.40411529541015, -86.76322021484376, 689.936962890625]"
361131000442,361112857564,"(0.9367857575416565, 0.3277864158153534)","(227.38558959960938, 211.94374084472656, 66.4994125366211)",1,5.30584716796875,1,"(-103.40409851074219, -86.77272033691406, 689.9291381835938)","(0.6978520750999451, 0.6694462895393372, 0.562175452709198)",1,"(0.9182231426239014, 0.33161741495132446)","(217.80215454101562, 210.78211975097656, 66.07664489746094)",1,5.320343017578125,1,"(-40.9593620300293, -86.24807739257812, 691.4495849609375)","(0.5753253698348999, 0.6679136753082275, 0.5514417290687561)",1,0,47,45,49,left,,0,,
361131004442,361112861564,"(0.9379076361656189, 0.33236774802207947)","(227.96481323242188, 210.55462646484375, 65.99380493164062)",1,5.352935791015625,1,"(-103.40142059326172, -86.77630615234375, 689.9024658203125)","(0.6978535056114197, 0.6694590449333191, 0.562118411064148)",1,"(0.9158514738082886, 0.3291177451610565)","(216.57765197753906, 211.5400848388672, 66.35246276855469)",1,5.3069305419921875,1,"(-40.956321716308594, -86.24859619140625, 691.4111938476562)","(0.575323224067688, 0.6679227352142334, 0.5513585805892944)",1,0,48,46,50,left,,0,,
361131008442,361112865563,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,49,47,51,inter,"[0.9374948143959045, 0.32889674603939056]",1,"[0.6978501677513123, 0.6694870591163635, 0.562052458524704]","[-103.39572525024414, -86.78715133666992, 689.8712768554688]"
361131012442,361112869562,"(0.9370819926261902, 0.32542574405670166)","(227.53855895996094, 212.65953063964844, 66.75995635986328)",1,5.3319549560546875,1,"(-103.39002990722656, -86.7979965209961, 689.840087890625)","(0.6978468298912048, 0.669515073299408, 0.56198650598526)",1,"(0.9227886199951172, 0.32980093359947205)","(220.15914916992188, 211.33290100097656, 66.27711486816406)",1,5.3313140869140625,1,"(-40.966373443603516, -86.28929901123047, 691.4608764648438)","(0.5753379464149475, 0.6679918766021729, 0.5514766573905945)",1,0,50,48,52,left,,0,,
361131016442,361112873562,"(0.9298528432846069, 0.3302311301231384)","(223.80624389648438, 211.20248413085938, 66.22959899902344)",1,5.332275390625,1,"(-103.3887939453125, -86.80421447753906, 689.828369140625)","(0.6978474259376526, 0.6695298552513123, 0.5619624853134155)",1,"(0.9225203990936279, 0.3278442919254303)","(220.02069091796875, 211.92617797851562, 66.49305725097656)",1,5.3175506591796875,1,"(-40.96673583984375, -86.29885864257812, 691.4892578125)","(0.5753358602523804, 0.66800457239151, 0.551540195941925)",1,0,51,49,53,left,,0,,
361131020442,361112877561,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,52,50,54,inter,"[0.9321760535240173, 0.3278253475824992]",1,"[0.6978442271550497, 0.6695446769396464, 0.5619543592135111]","[-103.38663228352864, -86.81128692626953, 689.8240966796875]"
361131024442,361112881560,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,53,51,55,inter,"[0.9344992637634277, 0.3254195650418599]",1,"[0.6978410283724467, 0.6695594986279806, 0.5619462331136068]","[-103.3844706217448, -86.818359375, 689.81982421875]"
361131028442,361112885560,"(0.9368224740028381, 0.3230137825012207)","(227.404541015625, 213.39088439941406, 67.02613830566406)",1,5.3307342529296875,1,"(-103.38230895996094, -86.82543182373047, 689.8155517578125)","(0.6978378295898438, 0.6695743203163147, 0.5619381070137024)",1,"(0.9202075600624084, 0.33546891808509827)","(218.8266143798828, 209.6143035888672, 65.65156555175781)",1,5.318511962890625,1,"(-40.96272277832031, -86.3198013305664, 691.5025634765625)","(0.5753268003463745, 0.6680426597595215, 0.5515732765197754)",1,0,54,52,56,left,,0,,
361131032442,361112889559,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1,55,53,57,inter,"[0.9358253343174628, 0.3238618639939723]",1,"[0.6978337752070044, 0.6695805956662242, 0.561946662953959]","[-103.38074444517116, -86.82905119514048, 689.8193981746615]"
