id,time,velocity,type,point
442,7709583101,127.5538818735076,2,"(1479.1072082519531, 1192.5883054733276, 616.3800048828125)"
443,7709587101,151.76094330574156,2,"(1477.2358703613281, 1192.0226097106934, 616.31591796875)"
444,7709591101,61.87709877644591,2,"(1484.5251846313477, 1182.9867124557495, 616.232421875)"
445,7709595101,67.25934924565156,2,"(1479.0394592285156, 1195.5859422683716, 616.2012329101562)"
446,7709599101,208.42260720355105,2,"(1463.0171585083008, 1191.0768270492554, 616.233154296875)"
447,7709603101,245.795316956767,2,"(1398.9533615112305, 1155.2944421768188, 616.1812744140625)"
448,7709607101,231.75486756086067,2,"(1446.5247344970703, 1179.0876388549805, 616.1712646484375)"
449,7709611101,54.74144540647654,2,"(1472.7222061157227, 1190.430736541748, 616.1712646484375)"
450,7709615101,449.94172719174725,2,"(1474.1518020629883, 1196.641731262207, 616.1716918945312)"
451,7709619101,173.31945561095813,2,"(1479.5111846923828, 1182.164454460144, 616.1722412109375)"
452,7709623101,203.7587950254874,2,"(1466.7266464233398, 1185.431170463562, 616.1829833984375)"
453,7709627101,152.1067754343866,2,"(1455.578498840332, 1168.4040069580078, 616.177001953125)"
454,7709631101,94.71834243110249,2,"(1444.4303512573242, 1151.3768434524536, 616.1710205078125)"
455,7709635101,224.08311130115152,2,"(1465.5295944213867, 1187.2880458831787, 616.130126953125)"
456,7709639101,165.94564237638815,2,"(1478.331069946289, 1185.8815670013428, 616.1204833984375)"
457,7709643101,40.08097846853253,2,"(1467.1604919433594, 1194.951868057251, 616.0877685546875)"
458,7709647101,40.08097846853253,2,"(1468.9134979248047, 1196.7131853103638, 616.0672607421875)"
459,7709651101,40.08097846853253,2,"(1465.817985534668, 1189.4834518432617, 616.109375)"
460,7709655101,40.08097846853253,2,"(1467.3988723754883, 1190.0569438934326, 616.0669555664062)"
461,7709659101,40.08097846853253,2,"(1471.1359405517578, 1191.8797016143799, 616.06787109375)"
462,7709663101,40.08097846853253,2,"(1471.1614608764648, 1184.094500541687, 616.0469970703125)"
463,7709667101,40.08097846853253,2,"(1469.256820678711, 1188.092565536499, 616.0571899414062)"
464,7709671101,40.08097846853253,2,"(1475.7174682617188, 1190.9459710121155, 616.0780029296875)"
465,7709675101,40.08097846853253,2,"(1482.1781158447266, 1193.799376487732, 616.0988159179688)"
466,7709679101,40.08097846853253,2,"(1473.5248947143555, 1178.510570526123, 616.0989379882812)"
467,7709683101,40.08097846853253,2,"(1470.6794357299805, 1194.6360111236572, 616.089111328125)"
468,7709687101,40.08097846853253,2,"(1481.1647415161133, 1182.6373100280762, 616.0974731445312)"
469,7709691101,256.9253178652038,2,"(1447.5314712524414, 1201.0720252990723, 616.108154296875)"
470,7709695101,341.7426168529597,2,"(1476.6564559936523, 1189.8640394210815, 616.0872192382812)"
471,7709699101,233.72771483000395,2,"(1474.661636352539, 1180.3542137145996, 616.0350341796875)"
472,7709703099,170.0032084051592,2,"(1472.9764938354492, 1201.3780117034912, 616.09765625)"
473,7709707099,95.17924219702913,2,"(1468.7830352783203, 1193.0336236953735, 616.0556640625)"
474,7709711099,269.43037283942743,2,"(1482.1476745605469, 1187.0744705200195, 616.0769653320312)"
475,7709715099,74.0686125802518,2,"(1478.4477424621582, 1185.728645324707, 616.0711669921875)"
476,7709719099,84.8321903580496,2,"(1474.7478103637695, 1184.3828201293945, 616.0653686523438)"
477,7709723099,229.16820252176038,2,"(1472.0569610595703, 1196.3100671768188, 616.085205078125)"
478,7709727099,131.9454228532426,2,"(1473.954849243164, 1192.1676635742188, 616.095703125)"
479,7709731099,137.2905116721425,2,"(1467.4121475219727, 1186.6636991500854, 616.04296875)"
480,7709735099,1135.3144621062972,2,"(1474.5510864257812, 1189.2117261886597, 616.0211181640625)"
481,7709739099,1052.3932001249495,2,"(1471.387882232666, 1184.7451329231262, 616.0308227539062)"
482,7709743099,304.27760198393213,2,"(1468.2246780395508, 1180.2785396575928, 616.04052734375)"
483,7709747099,220.60144981694427,2,"(1473.097801208496, 1184.0693950653076, 616.0403442382812)"
484,7709751099,255.4112820319199,2,"(1469.146728515625, 1200.0072956085205, 616.0186767578125)"
485,7709755099,394.4353731561688,2,"(1462.1492385864258, 1199.488878250122, 615.996337890625)"
486,7709759099,447.99472220933296,2,"(1482.0148086547852, 1191.7103290557861, 616.03759765625)"
487,7709763099,172.4420233231482,2,"(1465.5497360229492, 1184.2199563980103, 616.0254516601562)"
488,7709767099,93.68167722685153,2,"(1469.3983840942383, 1200.7123947143555, 615.9934692382812)"
489,7709771099,86.63989920905036,2,"(1478.301658630371, 1181.3106536865234, 615.9818115234375)"
490,7709775099,165.8050623337629,2,"(1475.3643035888672, 1192.2987699508667, 615.9697265625)"
491,7709779099,272.1964238425712,2,"(1472.9238510131836, 1189.9727582931519, 615.98876953125)"
492,7709783099,161.08897266174156,2,"(1458.0449295043945, 1189.026403427124, 616.0203857421875)"
493,7709787099,332.1391833716188,2,"(1464.3107986450195, 1184.4325304031372, 615.99658203125)"
494,7709791099,814.3291776698705,2,"(1469.9543380737305, 1185.5695724487305, 616.0270385742188)"
495,7709795099,766.682724311334,2,"(1469.967384338379, 1195.1856136322021, 615.9854125976562)"
496,7709799099,536.0465962405315,2,"(1481.063346862793, 1194.0208911895752, 615.9937744140625)"
497,7709803099,1102.307454250588,2,"(1467.3481750488281, 1190.7065391540527, 616.0028076171875)"
498,7709807099,1102.307454250588,2,"(1464.5304107666016, 1193.0742502212524, 615.9911499023438)"
499,7709811099,579.6418451877497,2,"(1474.522705078125, 1182.7344417572021, 615.989013671875)"
500,7709815099,579.6418451877497,2,"(1452.0263671875, 1192.565131187439, 616.0101928710938)"
501,7709819099,356.0583477764274,2,"(1425.2824401855469, 1175.8276462554932, 616.0401000976562)"
502,7709823099,428.97742603912445,2,"(1465.5029296875, 1188.259220123291, 616.0172729492188)"
503,7709827099,265.18185369054453,2,"(1449.7222137451172, 1194.4730043411255, 616.0269775390625)"
504,7709831099,265.18185369054453,2,"(1475.6771850585938, 1209.407901763916, 616.0367431640625)"
505,7709835097,265.18185369054453,2,"(1467.8783798217773, 1197.4112749099731, 616.0036010742188)"
506,7709839097,190.43222724954083,2,"(1473.9499282836914, 1198.5759973526, 616.0023193359375)"
507,7709843097,190.43223846587472,2,"(1448.686294555664, 1193.0704593658447, 615.9592895507812)"
508,7709847097,765.1570636989394,2,"(1426.3357543945312, 1175.6412506103516, 615.9364013671875)"
509,7709851097,305.0922714963567,2,"(1459.7621154785156, 1194.9769735336304, 615.935546875)"
510,7709855097,147.24524889116162,2,"(1467.8327178955078, 1189.4177198410034, 615.94482421875)"
511,7709859097,127.78057239376759,2,"(1467.608299255371, 1190.2350425720215, 615.9755859375)"
512,7709863097,352.15514230002015,2,"(1443.3758926391602, 1182.3212385177612, 615.974365234375)"
513,7709867097,545.4465690658375,2,"(1469.2553329467773, 1193.9921379089355, 615.9940795898438)"
514,7709871097,263.57238439555425,2,"(1448.3292388916016, 1190.0718212127686, 616.0032958984375)"
515,7709875097,375.84951181380416,2,"(1468.2006454467773, 1188.5202169418335, 616.0126342773438)"
516,7709879097,175.09749457473131,2,"(1460.5091857910156, 1184.1729640960693, 615.979736328125)"
517,7709883097,187.63772451126462,2,"(1469.3463134765625, 1185.1680994033813, 615.9627380371094)"
518,7709887097,216.93516120521952,2,"(1478.1834411621094, 1186.1632347106934, 615.9457397460938)"
519,7709891097,248.86038749294926,2,"(1463.6821746826172, 1184.5131397247314, 615.9454345703125)"
520,7709895097,122.13542379790198,2,"(1460.254898071289, 1190.8737659454346, 615.901123046875)"
521,7709899097,346.42655039391445,2,"(1475.5969619750977, 1190.7327890396118, 615.8590087890625)"
522,7709903097,102.42918791358049,2,"(1481.7898178100586, 1191.3753032684326, 615.8478393554688)"
523,7709907097,144.28585425405547,2,"(1458.5206604003906, 1186.6951704025269, 615.7826538085938)"
524,7709911097,216.8232291983833,2,"(1473.2786178588867, 1196.4388132095337, 615.8245849609375)"
525,7709915097,212.23283964094506,2,"(1465.3983306884766, 1188.1096959114075, 615.8134460449219)"
526,7709919097,212.23283964094506,2,"(1457.5180435180664, 1179.7805786132812, 615.8023071289062)"
527,7709923097,255.89875023919893,2,"(1452.6252365112305, 1160.6443405151367, 615.7801513671875)"
528,7709927097,213.7034256569951,2,"(1475.1440048217773, 1191.3211584091187, 615.7470092773438)"
529,7709931097,285.7126087789732,2,"(1482.2593688964844, 1187.2130155563354, 615.7461547851562)"
530,7709935097,413.5813564503914,2,"(1473.4341430664062, 1187.5417470932007, 615.7449951171875)"
531,7709939097,273.27330911983313,2,"(1472.4259185791016, 1197.353982925415, 615.7857666015625)"
532,7709943097,290.4233713724135,2,"(1477.5814819335938, 1182.096004486084, 615.7748413085938)"
533,7709947097,148.69886256921382,2,"(1457.8254318237305, 1182.6674938201904, 615.8150024414062)"
534,7709951097,183.75328845317478,2,"(1468.6578369140625, 1190.228533744812, 615.79296875)"
535,7709955097,472.75469171645074,2,"(1466.6466522216797, 1193.0254697799683, 615.8120727539062)"
536,7709959097,629.5095821665808,2,"(1471.5554809570312, 1192.950439453125, 615.8312377929688)"
537,7709963097,391.8162238354548,2,"(1474.5263671875, 1193.1786060333252, 615.8300170898438)"
538,7709967097,385.93900967542174,2,"(1475.617904663086, 1181.4584255218506, 615.807861328125)"
539,7709971097,122.49379841370974,2,"(1470.783462524414, 1201.2363910675049, 615.8170776367188)"
540,7709975097,172.09038065436502,2,"(1444.1397857666016, 1181.930422782898, 615.8265380859375)"
541,7709979097,119.80590010593708,2,"(1436.5197372436523, 1159.692907333374, 615.8043212890625)"
